Tamb,Tin,w_fan,q,Tout
17.6666666666667,25.1666666666667,28.636,21,23.8701098251039
17.6666666666667,25.1666666666667,46.272,21,23.2613428541431
17.6666666666667,25.1666666666667,63.908,21,22.7994357144954
17.6666666666667,25.1666666666667,81.544,21,22.4353465823326
17.6666666666667,25.1666666666667,99.18,21,22.1417643229167
17.6666666666667,25.1666666666667,11,24,24.7521041481359
17.6666666666667,25.1666666666667,28.636,24,24.0078587386746
17.6666666666667,25.1666666666667,46.272,24,23.4427457655447
17.6666666666667,25.1666666666667,63.908,24,23.0031357765327
17.6666666666667,25.1666666666667,81.544,24,22.6514585121052
17.6666666666667,25.1666666666667,99.18,24,22.3614908854167
17.6666666666667,29.6666666666667,11,6,27.3484374874258
17.6666666666667,29.6666666666667,28.636,6,24.6569010416667
17.6666666666667,29.6666666666667,46.272,6,23.4029947916667
17.6666666666667,29.6666666666667,63.908,6,22.6822916666667
17.6666666666667,29.6666666666667,81.544,6,22.2252604166667
17.6666666666667,29.6666666666667,99.18,6,21.8971354166667
17.6666666666667,29.6666666666667,11,9,28.0217592259841
17.6666666666667,29.6666666666667,28.636,9,25.7155076425248
17.6666666666667,29.6666666666667,46.272,9,24.4225260416667
17.6666666666667,29.6666666666667,63.908,9,23.6080729166667
17.6666666666667,29.6666666666667,81.544,9,23.0455729166667
17.6666666666667,29.6666666666667,99.18,9,22.6354166666667
17.6666666666667,29.6666666666667,11,12,28.3946945133629
17.6666666666667,29.6666666666667,28.636,12,26.4272329982188
17.6666666666667,29.6666666666667,46.272,12,25.1955271699387
17.6666666666667,29.6666666666667,63.908,12,24.3580729166667
17.6666666666667,29.6666666666667,81.544,12,23.7604166666667
17.6666666666667,29.6666666666667,99.18,12,23.3092447916667
17.6666666666667,29.6666666666667,11,15,28.6310133925181
17.6666666666667,29.6666666666667,28.636,15,26.9269341416355
17.6666666666667,29.6666666666667,46.272,15,25.7810206822763
17.6666666666667,29.6666666666667,63.908,15,24.9615885416667
17.6666666666667,29.6666666666667,81.544,15,24.3522135416667
17.6666666666667,29.6666666666667,99.18,15,23.8776041666667
17.6666666666667,29.6666666666667,11,18,28.7931426349731
17.6666666666667,29.6666666666667,28.636,18,27.2968551734011
17.6666666666667,29.6666666666667,46.272,18,26.2337488036033
17.6666666666667,29.6666666666667,63.908,18,25.4494938995696
17.6666666666667,29.6666666666667,81.544,18,24.8444010416667
17.6666666666667,29.6666666666667,99.18,18,24.3639322916667
17.6666666666667,29.6666666666667,11,21,28.9111950155161
17.6666666666667,29.6666666666667,28.636,21,27.5796458845369
17.6666666666667,29.6666666666667,46.272,21,26.5980384913516
17.6666666666667,29.6666666666667,63.908,21,25.8429872157188
17.6666666666667,29.6666666666667,81.544,21,25.2566937595224
17.6666666666667,29.6666666666667,99.18,21,24.7799479166667
17.6666666666667,29.6666666666667,11,24,29.0012072950993
17.6666666666667,29.6666666666667,28.636,24,27.8031106608916
17.6666666666667,29.6666666666667,46.272,24,26.8905540141304
17.6666666666667,29.6666666666667,63.908,24,26.1769451514048
17.6666666666667,29.6666666666667,81.544,24,25.6020080453577
17.6666666666667,29.6666666666667,99.18,24,25.1373697916667
17.6666666666667,34.1666666666667,11,6,30.958238015536
17.6666666666667,34.1666666666667,28.636,6,27.1976725260417
17.6666666666667,34.1666666666667,46.272,6,25.4332682291667
17.6666666666667,34.1666666666667,63.908,6,24.4181315104167
17.6666666666667,34.1666666666667,81.544,6,23.7736002604167
17.6666666666667,34.1666666666667,99.18,6,23.3224283854167
17.6666666666667,34.1666666666667,11,9,31.8941632525388
17.6666666666667,34.1666666666667,28.636,9,28.6854857837539
17.6666666666667,34.1666666666667,46.272,9,26.8754069010417
17.6666666666667,34.1666666666667,63.908,9,25.7313639322917
17.6666666666667,34.1666666666667,81.544,9,24.9498697916667
17.6666666666667,34.1666666666667,99.18,9,24.3778483072917
17.6666666666667,34.1666666666667,11,12,32.4108017242436
17.6666666666667,34.1666666666667,28.636,12,29.6797124298769
17.6666666666667,34.1666666666667,46.272,12,27.9587094049543
17.6666666666667,34.1666666666667,63.908,12,26.7948404947917
17.6666666666667,34.1666666666667,81.544,12,25.9569498697917
17.6666666666667,34.1666666666667,99.18,12,25.3204752604167
17.6666666666667,34.1666666666667,11,15,32.7359515010582
17.6666666666667,34.1666666666667,28.636,15,30.376361443848
17.6666666666667,34.1666666666667,46.272,15,28.7808937253474
17.6666666666667,34.1666666666667,63.908,15,27.6407877604167
17.6666666666667,34.1666666666667,81.544,15,26.7867838541667
17.6666666666667,34.1666666666667,99.18,15,26.1261393229167
17.6666666666667,34.1666666666667,11,18,32.9608379180671
17.6666666666667,34.1666666666667,28.636,18,30.8885172496797
17.6666666666667,34.1666666666667,46.272,18,29.4149608043887
17.6666666666667,34.1666666666667,63.908,18,28.3183639386815
17.6666666666667,34.1666666666667,81.544,18,27.4715983072917
17.6666666666667,34.1666666666667,99.18,18,26.8028971354167
17.6666666666667,34.1666666666667,11,21,33.1245709295422
17.6666666666667,34.1666666666667,28.636,21,31.2799284370143
17.6666666666667,34.1666666666667,46.272,21,29.9155763112474
17.6666666666667,34.1666666666667,63.908,21,28.8719700591804
17.6666666666667,34.1666666666667,81.544,21,28.0485517810398
17.6666666666667,34.1666666666667,99.18,21,27.3829752604167
17.6666666666667,34.1666666666667,11,24,33.2487299187065
17.6666666666667,34.1666666666667,28.636,24,31.5913937179753
17.6666666666667,34.1666666666667,46.272,24,30.3251984791363
17.6666666666667,34.1666666666667,63.908,24,29.3353249353209
17.6666666666667,34.1666666666667,81.544,24,28.5364384261359
17.6666666666667,34.1666666666667,99.18,24,27.8824869791667
17.6666666666667,38.6666666666667,11,6,34.556854261902
17.6666666666667,38.6666666666667,28.636,6,29.7047526041667
17.6666666666667,38.6666666666667,46.272,6,27.4078776041667
17.6666666666667,38.6666666666667,63.908,6,26.0953776041667
17.6666666666667,38.6666666666667,81.544,6,25.2545572916667
17.6666666666667,38.6666666666667,99.18,6,24.6598307291667
17.6666666666667,38.6666666666667,11,9,35.7608326808669
17.6666666666667,38.6666666666667,28.636,9,31.6370767447962
17.6666666666667,38.6666666666667,46.272,9,29.2945963541667
17.6666666666667,38.6666666666667,63.908,9,27.8180338541667
17.6666666666667,38.6666666666667,81.544,9,26.8028971354167
17.6666666666667,38.6666666666667,99.18,9,26.0646158854167
17.6666666666667,38.6666666666667,11,12,36.4232416672024
17.6666666666667,38.6666666666667,28.636,12,32.9203300020198
17.6666666666667,38.6666666666667,46.272,12,30.6992159944153
17.6666666666667,38.6666666666667,63.908,12,29.1920572916667
17.6666666666667,38.6666666666667,81.544,12,28.1153971354167
17.6666666666667,38.6666666666667,99.18,12,27.2950846354167
17.6666666666667,38.6666666666667,11,15,36.8400565807662
17.6666666666667,38.6666666666667,28.636,15,33.8179475580357
17.6666666666667,38.6666666666667,46.272,15,31.7577246002949
17.6666666666667,38.6666666666667,63.908,15,30.2892252604167
17.6666666666667,38.6666666666667,81.544,15,29.1920572916667
17.6666666666667,38.6666666666667,99.18,15,28.3409830729167
17.6666666666667,38.6666666666667,11,18,37.1271569046927
17.6666666666667,38.6666666666667,28.636,18,34.4734510684613
17.6666666666667,38.6666666666667,46.272,18,32.57937801379
17.6666666666667,38.6666666666667,63.908,18,31.1606015300881
17.6666666666667,38.6666666666667,81.544,18,30.0738932291667
17.6666666666667,38.6666666666667,99.18,18,29.2125651041667
17.6666666666667,38.6666666666667,11,21,37.3361890931236
17.6666666666667,38.6666666666667,28.636,21,34.9775588382787
17.6666666666667,38.6666666666667,46.272,21,33.2271155224654
17.6666666666667,38.6666666666667,63.908,21,31.8811128066921
17.6666666666667,38.6666666666667,81.544,21,30.8212592603885
17.6666666666667,38.6666666666667,99.18,21,29.9611002604167
17.6666666666667,38.6666666666667,11,24,37.4955595107857
17.6666666666667,38.6666666666667,28.636,24,35.3728042161629
17.6666666666667,38.6666666666667,46.272,24,33.7516625303895
17.6666666666667,38.6666666666667,63.908,24,32.476082515201
17.6666666666667,38.6666666666667,81.544,24,31.4487841468418
17.6666666666667,38.6666666666667,99.18,24,30.6070963541667
17.6666666666667,43.1666666666667,11,6,38.1527226218928
17.6666666666667,43.1666666666667,28.636,6,32.1722819010417
17.6666666666667,43.1666666666667,46.272,6,29.3458658854167
17.6666666666667,43.1666666666667,63.908,6,27.7147623697917
17.6666666666667,43.1666666666667,81.544,6,26.6813151041667
17.6666666666667,43.1666666666667,99.18,6,25.9466959635417
17.6666666666667,43.1666666666667,11,9,39.6246159776778
17.6666666666667,43.1666666666667,28.636,9,34.5662178767755
17.6666666666667,43.1666666666667,46.272,9,31.6866861979167
17.6666666666667,43.1666666666667,63.908,9,29.8688151041667
17.6666666666667,43.1666666666667,81.544,9,28.6112467447917
17.6666666666667,43.1666666666667,99.18,9,27.7023111979167
17.6666666666667,43.1666666666667,11,12,40.4320652896786
17.6666666666667,43.1666666666667,28.636,12,36.14603532008
17.6666666666667,43.1666666666667,46.272,12,33.4235483753094
17.6666666666667,43.1666666666667,63.908,12,31.5746256510417
17.6666666666667,43.1666666666667,81.544,12,30.2423502604167
17.6666666666667,43.1666666666667,99.18,12,29.2338053385417
17.6666666666667,43.1666666666667,11,15,40.9418056255661
17.6666666666667,43.1666666666667,28.636,15,37.2437303199835
17.6666666666667,43.1666666666667,46.272,15,34.7211144288105
17.6666666666667,43.1666666666667,63.908,15,32.9193522135417
17.6666666666667,43.1666666666667,81.544,15,31.5621744791667
17.6666666666667,43.1666666666667,99.18,15,30.5162760416667
17.6666666666667,43.1666666666667,11,18,41.2914808318025
17.6666666666667,43.1666666666667,28.636,18,38.0496163057602
17.6666666666667,43.1666666666667,46.272,18,35.7272033204046
17.6666666666667,43.1666666666667,63.908,18,33.9984837338878
17.6666666666667,43.1666666666667,81.544,18,32.6578776041667
17.6666666666667,43.1666666666667,99.18,18,31.5995279947917
17.6666666666667,43.1666666666667,11,21,41.5460770313754
17.6666666666667,43.1666666666667,28.636,21,38.6689378356244
17.6666666666667,43.1666666666667,46.272,21,36.5198562748787
17.6666666666667,43.1666666666667,63.908,21,34.8706556229275
17.6666666666667,43.1666666666667,81.544,21,33.5693982022632
17.6666666666667,43.1666666666667,99.18,21,32.5209147135417
17.6666666666667,43.1666666666667,11,24,41.7401883960457
17.6666666666667,43.1666666666667,28.636,24,39.1508794907629
17.6666666666667,43.1666666666667,46.272,24,37.1673471942635
17.6666666666667,43.1666666666667,63.908,24,35.5994257657756
17.6666666666667,43.1666666666667,81.544,24,34.3393097214213
17.6666666666667,43.1666666666667,99.18,24,33.3053385416667
25,28,11,6,27.4203970229134
25,28,28.636,6,26.74462890625
25,28,46.272,6,26.4267578125
25,28,63.908,6,26.24365234375
25,28,81.544,6,26.125
25,28,99.18,6,26.04296875
25,28,11,9,27.5888125444808
25,28,28.636,9,27.0117196723029
25,28,46.272,9,26.68603515625
