,Tamb,Tdc_in,qdc,wdc
360,17.666666666666664,34.166666666666664,2070.0,11.0
361,17.666666666666664,34.166666666666664,2070.0,28.636000000000003
362,17.666666666666664,34.166666666666664,2070.0,46.272000000000006
363,17.666666666666664,34.166666666666664,2070.0,63.90800000000001
364,17.666666666666664,34.166666666666664,2070.0,81.54400000000001
365,17.666666666666664,34.166666666666664,2070.0,99.18
366,17.666666666666664,34.166666666666664,2415.0,11.0
367,17.666666666666664,34.166666666666664,2415.0,28.636000000000003
368,17.666666666666664,34.166666666666664,2415.0,46.272000000000006
369,17.666666666666664,34.166666666666664,2415.0,63.90800000000001
370,17.666666666666664,34.166666666666664,2415.0,81.54400000000001
371,17.666666666666664,34.166666666666664,2415.0,99.18
372,17.666666666666664,34.166666666666664,2760.0,11.0
373,17.666666666666664,34.166666666666664,2760.0,28.636000000000003
374,17.666666666666664,34.166666666666664,2760.0,46.272000000000006
375,17.666666666666664,34.166666666666664,2760.0,63.90800000000001
376,17.666666666666664,34.166666666666664,2760.0,81.54400000000001
377,17.666666666666664,34.166666666666664,2760.0,99.18
378,17.666666666666664,38.666666666666664,690.0,11.0
379,17.666666666666664,38.666666666666664,690.0,28.636000000000003
380,17.666666666666664,38.666666666666664,690.0,46.272000000000006
381,17.666666666666664,38.666666666666664,690.0,63.90800000000001
382,17.666666666666664,38.666666666666664,690.0,81.54400000000001
383,17.666666666666664,38.666666666666664,690.0,99.18
384,17.666666666666664,38.666666666666664,1035.0,11.0
385,17.666666666666664,38.666666666666664,1035.0,28.636000000000003
386,17.666666666666664,38.666666666666664,1035.0,46.272000000000006
387,17.666666666666664,38.666666666666664,1035.0,63.90800000000001
388,17.666666666666664,38.666666666666664,1035.0,81.54400000000001
389,17.666666666666664,38.666666666666664,1035.0,99.18
390,17.666666666666664,38.666666666666664,1380.0,11.0
391,17.666666666666664,38.666666666666664,1380.0,28.636000000000003
392,17.666666666666664,38.666666666666664,1380.0,46.272000000000006
393,17.666666666666664,38.666666666666664,1380.0,63.90800000000001
394,17.666666666666664,38.666666666666664,1380.0,81.54400000000001
395,17.666666666666664,38.666666666666664,1380.0,99.18
396,17.666666666666664,38.666666666666664,1725.0,11.0
397,17.666666666666664,38.666666666666664,1725.0,28.636000000000003
398,17.666666666666664,38.666666666666664,1725.0,46.272000000000006
399,17.666666666666664,38.666666666666664,1725.0,63.90800000000001
400,17.666666666666664,38.666666666666664,1725.0,81.54400000000001
401,17.666666666666664,38.666666666666664,1725.0,99.18
402,17.666666666666664,38.666666666666664,2070.0,11.0
