eval_index,Tamb,HR,Twct_in,qwct,wwct,Twb,mw_ma_ratio,Tout,m_w_lost,evaluation_status,Ce
156,14.75,0.0009707903002056,33.0,2938.909090909091,23.318508850049803,3.0704317474709653,4.000000135988516,25.9137752447974,28497.08868993247,2,6.740582887278342
157,14.75,0.0009707903002056,33.0,3194.181818181818,63.89938492245707,3.0704317474709653,0.5000000000382638,13.668117043192908,88111.53611923708,2,60.11616115965529
158,14.75,0.0009707903002056,33.0,3194.181818181818,32.21741083636552,3.0704317474709653,1.3750000049626256,21.831121229873503,49810.70635391976,2,13.404276064391611
159,14.75,0.0009707903002056,33.0,3194.181818181818,27.02259600733492,3.0704317474709653,2.2500000290677584,25.108785766247347,35187.37371895062,2,9.20820372932052
160,14.75,0.0009707903002056,33.0,3194.181818181818,24.850620226524853,3.0704317474709653,3.1250000682628167,14.086391122670976,95573.272334965,2,7.709636165780853
161,14.75,0.0009707903002056,33.0,3194.181818181818,23.65604940161868,3.0704317474709653,4.000000158787198,28.01920148264496,22245.09779856028,2,6.947893337081893
162,14.75,0.0009707903002056,33.0,3449.454545454545,70.17175868030729,3.0704317474709653,0.5000000010263168,13.66811656992775,95153.23915636512,2,74.2174195121962
163,14.75,0.0009707903002056,33.0,3449.454545454545,33.33511935383766,3.0704317474709653,1.3750000100728264,21.83112155178277,53791.47850266072,2,14.423109617672994
164,14.75,0.0009707903002056,33.0,3449.454545454545,27.65449278561296,3.0704317474709653,2.2500000403997125,25.108284865736675,38001.82433742791,2,9.672080513048476
165,14.75,0.0009707903002056,33.0,3449.454545454545,25.29181070722792,3.0704317474709653,3.1250000847772688,26.89388741505244,29428.64041563634,2,8.002111903265709
166,14.75,0.0009707903002056,33.0,3449.454545454545,23.9950899249249,3.0704317474709653,4.000000095662129,28.01920141637691,24022.88257227075,2,7.159631670704046
167,14.75,0.0009707903002056,33.0,3704.727272727273,78.18161914808177,3.0704317474709653,0.5000000003163563,13.668116753882984,102194.93896524012,2,94.83831269449318
168,14.75,0.0009707903002056,33.0,3704.727272727273,34.471902564613536,3.0704317474709653,1.3750000084794478,21.831121248645697,57772.25358333407,2,15.502492527755065
169,14.75,0.0009707903002056,33.0,3704.727272727273,28.291961217653697,3.0704317474709653,2.250000013096728,25.10878477958519,40811.59005839417,2,10.152936765901703
170,14.75,0.0009707903002056,33.0,3704.727272727273,25.735623763108777,3.0704317474709653,3.1250000745617053,19.868673386736965,69997.8400389743,2,8.30243367153954
171,14.75,0.0009707903002056,33.0,3704.727272727273,24.33565044824908,3.0704317474709653,4.000000082917869,28.019201403045823,25800.66711987329,2,7.3758699481185745
173,14.75,0.0009707903002056,33.0,3960.0,35.62877157409795,3.0704317474709653,1.3750000120214707,21.83112126732694,61753.02713622777,2,16.6461189616704
174,14.75,0.0009707903002056,33.0,3960.0,28.935150915596484,3.0704317474709653,2.2500000482546256,25.10878487199961,43623.6955775627,2,10.65131366297504
175,14.75,0.0009707903002056,33.0,3960.0,26.182106789517903,3.0704317474709653,3.1250000137838123,26.893887302822456,33784.303183072945,2,8.610771434647642
176,14.75,0.0009707903002056,33.0,3960.0,24.67775169325284,3.0704317474709653,4.000000041469876,28.019201359568303,27578.45184329266,2,7.59668206649227
177,17.833333333333332,15.128360686375895,25.11111111111111,1152.0,32.103815030028905,7.11075789076742,0.5000000034427663,13.573738504554475,21164.8831929797,2,13.303067083953858
178,17.833333333333332,15.128360686375895,25.11111111111111,1152.0,23.86451098354413,7.11075789076742,1.3750000297694864,18.78544072016218,10979.332509864536,2,7.0776653084085615
180,17.833333333333332,15.128360686375895,25.11111111111111,1152.0,21.41025887352205,7.11075789076742,3.125000258558228,21.76818633362185,5722.539086706145,2,5.633494805104932
181,17.833333333333332,15.128360686375895,25.11111111111111,1407.2727272727273,35.21854147837161,7.11075789076742,0.5000000065864374,13.57373853875506,25854.828808709604,2,16.235339581701126
182,17.833333333333332,15.128360686375895,25.11111111111111,1407.2727272727273,24.85779842122453,7.11075789076742,1.3750000093206896,18.78543866946241,13412.257038969938,2,7.714346466076923
184,17.833333333333332,15.128360686375895,25.11111111111111,1407.2727272727273,21.83201826090638,7.11075789076742,3.1250002150787,13.581112754740026,26428.51006265732,2,5.86874614399937
